ksat_ID,ksat_Soil_Counter,ksat_Test_Method,ksat_Technician,ksat_Lab_Notes,ksat_Test_Date,ksat_Specimen_ID,ksat_Specimen_Diameter,ksat_Specimen_Length,Laboratory_ksat,Field_ksat,Inverse_ksat,Air_Entry_ksat,Hazens_Constant,Hazens_ksat,Kozeny_Constant,Kozeny_Carman_ksat,Rawls_1983_ksat,Rawls_1993_ksat,Slichter_ksat,Terzaghi_ksat,Kozeny_ksat,USBR_ksat,Beyer_ksat,Kruger_ksat,Zamarin_ksat,Perm_Stress_State,FairHatch_ksat,FairHatch_SandShapeFactor,k_NAVFAC,k_Chapuis
"{00D395ED-B051-4FB7-8D506F71EF32D48E}","364388836","Falling head test","Yugantha Perera",,"07/25/03 00:00:00","4-1-3-11.5",,,1.22e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{01EEC74C-38D3-4ECE-8DAE6CC17A692115}","430126031","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","5-2-3-20",,,5.2299998e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{04AAF0F4-0959-456D-84988A98459C0EB5}","255772166","Falling head test","Yugantha Perera",,"08/13/03 00:00:00","7-4-3-14.5",,,1.07e-05,,,,,,,,,,,,,,,,,0,,,0,0
"{04F41541-6690-42FF-A906EE978FA75CAC}","238425307","Falling head test","Yugantha Perera",,"08/14/03 00:00:00","3-1-1-34",,,3.7000001e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{04F88F95-D5E9-4994-A4FB87055B689B9F}","850894663","Falling head test","Yugantha Perea",,"08/13/03 00:00:00","8-3-2-20",,,3.7200001e-09,,,,,,,,,,,,,,,,,0,,,0,0
"{060C15A1-3BD8-4686-914A62C811640FD5}","268642531","Falling head test","Yugantha Perera",,"09/02/03 00:00:00","3-3-3-17",,,2.3800001e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{07B2B9E9-E49C-45E3-918E2DFFEB7DF15A}","699568165","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","5-2-2-17",,,5.2299998e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{0A1142FE-A9E3-4DF1-A570B4A568BC8AD7}","737639162","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","2-3-1-13.5",,,3.9199999e-06,,,,,,,,,,,,,,,,,0,,,0,0
"{0A468173-0248-4CFD-AFB5D4BADFC8F32F}","558020909","Falling head test","Yugantha Perera",,"07/24/03 00:00:00","1-3-2-15",,,4.8600002e-10,,,,,,,,,,,,,,,,,0,,,0,0
"{0F5C5C21-FC61-4E9E-93A6A2AFACC4C013}","977775944","Falling head test","Yugantha Perera",,"08/25/03 00:00:00","6-4-3-22.5",,,1.23e-08,,,,,,,,,,,,,,,,,0,,,0,0
