SWCC_ID,SWCC_Soil_Counter,SWCC_Test_Method,SWCC_Technician,SWCC_Lab_Notes,SWCC_Test_Date,SWCC_Specimen_ID,Wilting_Point,af,nf,mf,hr,Fredlund_SWCC_Fit,Fredlund_Source,Fredlund_Error,Fredlund_Residual_WC,Fredlund_AEV,Fredlund_Max_Slope,afb,nfb,mfb,jfb,kfb,lfb,Fredlund_Bimodal_Split,Fredlund_Bimodal_Fit,Fredlund_Bimodal_Source,Fredlund_Bimodal_Error,avg,nvg,mvg,Genuchten_SWCC_Fit,Genuchten_Source,Genuchten_Error,Genuchten_Residual_WC,Genuchten_AEV,Genuchten_Max_Slope,ab,nb,Burdine_SWCC_Fit,Burdine_Error,Burdine_Residual_WC,Burdine_AEV,Burdine_Max_Slope,am,nm,Mualem_SWCC_Fit,Mualem_Error,Mualem_Residual_WC,Mualem_AEV,Mualem_Max_Slope,ag,ng,Gardner_SWCC_Fit,Gardner_Error,Gardner_Residual_WC,Gardner_AEV,Gardner_Max_Slope,ac,nc,Brooks_SWCC_Fit,Brooks_Source,Brooks_Error,Brooks_Residual_WC,Brooks_AEV,Brooks_Max_Slope,Fredlund_PTF_Source,Packing_Porosity,Fredlund_PTF_Predicted,Fredlund_PTF_Error,Fredlund_PTF_AEV,Fredlund_PTF_Max_Slope,Gupta_Predicted,Gupta_Error,Arya_Alpha,Arya_Predicted,Arya_Error,Arya_AEV,Arya_Max_Slope,Scheinost_avg,Scheinost_nvg,Scheinost_mvg,Scheinost_Residual_wc,Scheinost_Predicted,Scheinost_Error,Scheinost_AEV,Scheinost_Max_Slope,Rawls_Bubbling_Pressure,Rawls_Lambda,Rawls_Predicted,Rawls_Error,Rawls_AEV,Rawls_Max_Slope,Vereecken_avg,Vereecken_nvg,Vereecken_mvg,Vereecken_Residual_wc,Vereecken_Predicted,Vereecken_Error,Vereecken_AEV,Vereecken_Max_Slope,Tyler_Alpha,Tyler_Predicted,Tyler_Error,Tyler_AEV,Tyler_Max_Slope,SWCC_Count,Aubertin_Predicted,Aubertin_Error,Aubertin_AEV,Aubertin_Max_Slope,Aubertin_Method,Yb,Yres,Sres,agg,Gitirana_Fredlund_SWCC_Fit,Gitirana_Fredlund_Error,Gitirana_Fredlund_Residual_WC,Gitirana_Fredlund_AEV,Gitirana_Fredlund_Max_Slope,Gitirana_Fredlund_Source
"{00C19F20-0758-4953-95CB8DBFE4B5F397}","617142200","Pressure Plate","Yugantha Perera",,"09/08/03 00:00:00","8-1-S-12",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{02F94CF7-0F5F-4FD2-9AFC8901619FE5AF}","141837967","Pressure Plate","Yugantha Perera",,"08/13/03 00:00:00","7-4-2-14.5",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{040AC4D8-55A0-4B37-BC772503427D0966}","499612331","Pressure Plate","Yugantha Perera",,"09/08/03 00:00:00","7-3-1-30",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{07E5BA33-C882-4539-9ADB8EB09FDBF053}","875947793","Pressure Plate","Yugantha Perera",,"08/13/03 00:00:00","6-1-1-11",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{0D68C711-8D16-4875-A6E9E3A7ADB201D6}","965839544","Pressure Plate","Yugantha perera",,"08/13/03 00:00:00","7-5-1-43",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{0EB57087-5F62-4AD3-9B9754685A07C935}","645047346","Pressure Plate","Yugantha Perera",,"08/13/03 00:00:00","7-4-3-19",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,4,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{0F6BF6CA-921C-4F64-AA036AB40155063E}","270169628","Pressure Plate","Yugantha Perera",,"09/08/03 00:00:00","2-1-2-18",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{112A3088-606C-4C80-88DF673A428DA22C}","247288332","Pressure Plate","Yugantha Perera",,"08/13/03 00:00:00","7-5-S-12",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{185EB08B-88CC-4D76-B9F267AA8A70ED80}","560393439","Pressure Plate","Yugantha Perera",,"08/14/03 00:00:00","5-4-S-12",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{1B00BBE3-6A45-4125-88358DFE5790ED0E}","907329135","Pressure Plate","Yugantha Perera",,"08/15/03 00:00:00","2-2-1-15",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{1BD882CD-1B53-47EC-89A45B092F2F87FB}","653029547","Pressure Plate","Yugantha Perera",,"09/02/03 00:00:00","3-2-1-15",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{1DBB3B9A-899D-4C39-AB271396B5A1E3BF}","395404285","Pressure Plate","Yugantha Perera",,"09/04/03 00:00:00","6-2-2-35",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{20B45DB1-3BE4-4696-AD1C09F107FB3452}","932749642","Pressure Plate","Yugantha Perera",,"08/13/03 00:00:00","8-3-3-21",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{2B0369E9-ABB3-4743-B3193A2E695F4B71}","410325474","Pressure Plate","Yugantha Perea",,"07/29/03 00:00:00","1-5-2-23",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{30D1AB71-D6F9-4D47-8C5373F63DE6A33F}","448762416","Pressure Plate","Yugantha Perera",,"08/14/03 00:00:00","1-1-1-13",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{37944B19-4D00-42AB-8FA6E35424F6734B}","277377181","Pressure Plate","Yugantha Perera",,"08/15/03 00:00:00","6-3-2-10",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{3A417FD2-2BB6-4DB3-BD3AEB13C54C278A}","555005126","Pressure Plate","Yugantha Perera",,"09/08/03 00:00:00","6-5-S-12",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{3B4065D1-8F84-41D6-A185173A7ECC78E5}","783668782","Pressure Plate","Yugantha Perera",,"09/04/03 00:00:00","6-2-S1-15",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,3,0,,,,1,0,0,0,0,0,0,0,0,0,0
"{3BC70268-3EEF-4196-801CE9E31B655BC0}","366407288","Pressure Plate","Yugantha Perera",,"09/08/03 00:00:00","6-5-1-20",,,,,,0,0,,,,,,,,,,,0,0,0,,,,,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,0,,,,,1,,0,,,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,0,,,,4,0,,,,1,0,0,0,0,0,0,0,0,0,0
