SCurveDry_ID,voledSoil_Counter,voledSuction,voledWater_Content,voledSuction_psf
"{02F62BA7-DCF8-49DF-917BBFA2B34E001D}","750847392",3,14.14,62.654942
"{0327F7DB-4C87-485C-8A7700C882E8B1AE}","152411036",1400,10.64,29238.973
"{06C8E17D-C43F-4389-8F58216BA048A07C}","395404285",9.7799997,9.7799997,204.2551
"{07D566C8-BDEA-4A88-9CBA42E8242654D4}","824500348",200,5.9899998,4176.9961
"{07D7724B-022A-461C-AAAD592E0AC64DF3}","629152350",300,20.200001,6265.4941
"{07E6325C-37F2-4B6D-A2145FD822BB5DA5}","518605761",100,18.620001,2088.498
"{08ED064A-97FF-48FF-A2ED6D52EC55049D}","653029547",500.25,21.360001,10447.711
"{0C5C3442-78C3-463F-AB9B8CCA6B965AB2}","783668782",100,38.09,2088.498
"{0CB347E9-1382-452B-81B8C87DD9AA6750}","699568165",50,35.98,1044.249
"{0D2C1386-9B0D-4858-B8F8E895C29F770E}","410325474",50,17.5,1044.249
"{0DD1EC8A-9E4A-49F7-819950A89C089711}","765086968",300,11.99,6265.4941
"{10541E54-57D8-4F95-89BAF210388F809E}","741566816",100,5,2088.498
"{111A5750-C2F6-4731-9E6FB25438B2F548}","365380340",19.93,34.759998,416.23767
"{131CC5C9-7AC6-47C2-B97DC3A786088A6E}","629152350",1400,9.4899998,29238.973
"{138E5EAB-7729-4658-8F08C77E25A757DD}","819612185",1400,14.92,29238.973
"{14A5EC03-261D-4F38-9AA0EDF343CA6CC2}","750847392",8.46,9.5100002,176.68694
"{14F6268E-C072-466A-82D68490435F4B7F}","765086968",3.75,26,78.318672
"{159BD2FF-458F-4D5E-AFA66243197B5A7B}","987270461",9.6899996,12.55,202.37544
"{16CF830B-C8B6-4610-BF8BC9A27049FFC8}","626855055",300,9,6265.4941
"{16F72580-CD2A-4A90-85D2ABCEDAEE581F}","979457961",40,10.74,835.39923
"{1825C8F6-CA12-4F6D-82D855519E8C0168}","514723883",300,18.08,6265.4941
