Soil_Counter,Version_Entered,Original_Index,Soil_Dataset_ID,Soil_Project_ID,Soil_Borehole_ID,Sample_ID,Date_Entered,Munsell_Hue,Munsell_Value,Munsell_Chroma,USDA_Texture,USCS_Texture,USDA_Texture_Abb,USCS_Texture_Abb,Soil_Picture,Texture_Modifier,Structure_Grade,Structure_Size,Structure_Type,Geologic_Description,Soil_Name,Soil_Description,Notes,Contact,Plastic_Limit,Liquid_Limit,Plasticity_Index,Activity,Sensitivity,N,Length_pushed,Length_recovered,Push_pressure,Dip,Strike,Rock_quality,RPM,Cone_rate,Consistency,Torvane_shear_stress,Pocket_penetrometer,Specific_Surface,COLE,Initial_State,Experimentally_Determined,Specimen_ID,Saturation,Void_Ratio,Porosity,Water_Content,Volumetric_Water_Content,Dry_Density,Total_Density,Total_Unit_Weight,Specific_Gravity,Locked_S,Locked_VWC,Locked_VR,Locked_WC,Locked_DD,Locked_TD,Locked_SG,Volume_Mass_Completed,Grainsize_Present,SWCC_Wetting_Present,SWCC_Drying_Present,Permeability_Present,ksat_Present,kVoid_Present,Shear_Box_Present,Shear_Triaxial_Present,Compression_Oedometer_Present,Compression_Triaxial_Present,Compaction_Present,Specific_Heat_Present,Thermal_Present,Unfrozen_Present,Diffusion_Present,Adsorption_Present,Shrinkage_Present,Geochemistry_Present,Atterberg_Present,SpecificGravity_Present,ShrinkageLimit_Present,WaterContent_Present,Country,Province,Region,Site,Family,Soil_Series,Date_Sampled,Land_Use,Drainage,Slope,Number_of_Horizons,Horizon_Number,Horizon_Code,Horizon_Depth_Upper,Horizon_Depth_Lower,Sample_Depth_Upper,Sample_Depth_Lower,Depth_to_Groundwater,Author,Paper_Name,Year_Published,Publisher,Journal_Name,Volume,Page_Numbers,Figure_Title,Water_Chemistry_Count,Mineralogy_Count,Field_1,Field_2,Field_3,Field_4,Field_5,HVEEM_Pressure,HVEEM_RValue,HVEEM_Displacement,HVEEM_Expansion,Filter_Paper_Wet,Filter_Paper_Dry,Filter_Paper_WaterContent,Filter_Paper_Suction,Filter_Paper_Type,CBR_Present
"113653924",2.5,,"AZ923","9-23","AZ0113-23S","2-3-M-15","07/25/03 09:52:21",,,,,,,,,,,,,,"m*;JL",,,"[DB,H+-e6osm628;$Su(+#O!F/d\C86.DzS8S;N8%0Bosb)A., S@R8@V7i#JR6X1(6!V04-8JIT#X-CRW:/5,5usE]E9iY50J/M.#;3KMGs*T5so<%XsfUWuvnEA6&G@MRs:\UPWzblGcfal",0.249,0.33199999,0.082999989,,,,,,,,,,,,,,,,,"U",1,"2-3-M-15",0.16,0.53846157,0.35000002,0.031443011,0.056000002,1781,1837,18.020969,2.74,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"&C<:VXzthC4*VF","l%5W$^3H",,"::[{ezzmp,ke",,,,"Road/Highway Embankment",,,,,,,,0.38109756,,15.853659,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"115225314",2.5,,"AZ923","9-23","WA7322-812","8-1-2-31","09/08/03 12:42:44",,,,,,,,,,,,,,"+&R0]57*!",,,"gJG6H^6s#HFg13.^HLi\X^U+M7Dj0C9;s%23E8N.*C HFj7S(@EL!1S%0CP))F/KM[T6(11G JRW&5[:Su>&2B7iRd>TZPUx G8J;X.%SJos#W3OHy;SqwizybodR 5X*#Fe&>G\qqvxocwfv",0.207,0.331,0.124,,,,,,,,,,,,,,,,,"U",1,"8-1-2-31",0.80000001,0.72413784,0.41999996,0.2076381,0.336,1618.2001,1954.2001,19.170702,2.79,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4N%0X16s\+G.@%",":+D.6;9K)0X",,"),;0Lg!rzw]j",,,,"Road/Highway Embankment",,,,,,,,0.78760064,,7.6219511,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"119566069",2.5,,"AZ923","9-23","NY4018-632","6-3-2-18","08/15/03 09:36:23",,,,,,,,,,,,,,"^VFJ-(6H5",,,"fY V9-7Dver>#24*Nso/(*U+.$S@V.^ZL(9VVX69(!<er:,A $Ss;W4&0CH[/u 1.B83)X^T[0PUh!42tG:+13AofR:TZHF}HH&3Z&8$R7sO(U]Fe{75sdym}nvRW 5 ]^uq]jfugw}tsahhQ",0,0,0,,,,,,,,,,,,,,,,,"U",1,"6-3-2-18",0.56999999,0.25,0.2,0.051630434,0.114,2208,2322,22.77882,2.76,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"\ !8C5%A/%0&M.","}C-A@.!84",,"/[9)Pd]QU\\n",,,,"Road/Highway Embankment",,,,,,,,0.45731708,,3.8414633,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"127025922",2.5,,"AZ923","9-23","AZ0215-412","4-1-2-18","07/25/03 10:58:28",,,,,,,,,,,,,,"> N(\;NX0",,,"{+G/.3Go6RW#8[$$1qEzM@S#R s>67!!e J[E6)X17BRW%--:;Hq}0L!.8d%DO$C(,S10:1N75es>X$+sOr,35SETf{F0dR6X1(6!V04-JIT7s+sRj0FHIphzdpfL%)T$XOP>sFvlcUxIuc[d",0.17380001,0.204,0.03019999,,,,,,,,,,,,,,,,,"U",1,"4-1-2-18",0.62,0.35135132,0.25999999,0.080382958,0.16119999,2005.4,2166.6001,21.254347,2.71,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z45V/-$fv4/N+F","\X^U[+M7",,"::[{ezzmp]ku",,,,"Road/Highway Embankment",,,,,,,,0.45731708,,26.219513,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"130040274",2.5,,"AZ923","9-23","CO7035-743","7-4-3-37","08/13/03 17:53:02",,,,,,,,,,,,,,"\!$8^ug}sk",,,"sZ/B618P!DF:C5#C4Te/41N&T8Hj$1V/A3860M(F/6/DF!3H<0NT^WC0%0s+*F}HH&3Z&8$R>7sO[.,:er{[E+3efo60CsOc -5A/*M@F6dR9O)UDy8YtUxqe\vos[-Y(@FS$!Eyzrkudy}ka",0,0,0,,,,,,,,,,,,,,,,,,0,"7-4-3-37",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"&C<:VXzthC4*VF","{]A(7)NH ",,"} )(Uu{InzbE",,,,"Road/Highway Embankment",,,,,,,,0.94003963,,9.1463413,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"135210249",2.5,,"AZ923","9-23","CO1053-751","7-5-1-14","08/13/03 14:06:01",,,,,,,,,,,,,,"[*F0VC3 ,DyNN0G]",,,"hA8 8<$e+tG#4#NC2sR[N/8[41q}^H%3Y801Z7 &,09tG%/300Gs\NK+,/S6FE]E 69M+N/M{9DF#15<sIg3E.ARUs#.6Su 1.B83)X^T0PU[F5rtu0GTvxf}stsOb!7.CEA hitxa\sPwpol",0,0,0,,,,,,,,,,,,,,,,,"REM",1,"7-5-1-14",0.27000001,0.61290324,0.38,0.059957929,0.10260001,1711.2,1813.7999,17.793377,2.76,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$6,01NxG( -0X0","y0B$51G10",,"^*}9Ia4v,ncw",,,,"Road/Highway Embankment",,,,,,,,0.35569206,,2.3780489,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"141837967",2.5,,"AZ923","9-23","CO7035-742","7-4-2-14.5","08/13/03 17:24:30",,,,,,,,,,,,,,"vN8.>5*1BEsH+3",,,"gJG6H^6s#HFg13.^HLi\X^U+M7Dj0C9;s%23E8N.*C HFj7S(@EL!1S%0CP))F/KM[T6(11G JRW&5[:Su>&2B7iRd>TZPUx G8J;X.%SJos#W3OHy;SqwizybodR 5X*#Fe&>G\qqvxocwfv",0,0,0,,,,,,,,,,,,,,,,,"REM",1,"7-4-2-14.5",0.31,0.29870132,0.23,0.033918463,0.071300007,2102.1001,2173.4001,21.321056,2.73,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"xT+*VH5o()6C5^","a6S^#&H/.",,"] )]Fr*lvdtz",,,,"Road/Highway Embankment",,,,,,,,0.3683942,,9.1463413,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"145287566",2.5,,"AZ923","9-23","CA3042-831","8-3-1-13","07/30/03 11:46:45",,,,,,,,,,,,,,"t;F3.0X&V$Y+&R057*!",,,"h0G-&,)u EA%( /N sO; <48KBG( -0Xo40*E5!%!81EA&#Z&10s>F2>[Jr7^s@2G1GX+/1X))FS:C%^fLz$W^AOoUx ArtbT2%SX8N^VJOH{S-qEsV0itzy}kaUDnVJ5;sI}:sjcaqxOQOrg",0.22,0.273,0.053000003,,,,,,,,,,,,,,,,,"U",1,"8-3-1-13",0.79000002,0.63934422,0.38999999,0.18168415,0.30809999,1695.8,2003.9,19.658258,2.78,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"+A&^Z/@ixN C59","\M2#K@!89V ",,"+!]{Sv&nqw}r",,,,"Road/Highway Embankment",,,,,,,,0.33028352,,2.8963416,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"146444320",2.5,,"AZ923","9-23","CO1053-752","7-5-2-13.5","08/13/03 15:55:55",,,,,,,,,,,,,,"$63C:/N0}tuG8(e]",,,":B-9H.GR:sOa$:1V.Afx8$I%T8P[!$01txT+1VN01)(sOd>5891A/2N#19s+0Ux G8J;X.%S6Josc-2.HFa5T&4fYi[RVsO$C(,S10:1N5es/s@Wsn,7Slvtt>PiY.+Y(7UDl:rnE]dyeck[u",0,0,0,,,,,,,,,,,,,,,,,"REM",1,"7-5-2-13.5",0.31,0.36986303,0.27000001,0.041542586,0.083700001,2014.7999,2098.5,20.586285,2.76,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,":S17X6 W(.%:^V","z#Y%,N82)",,"} )(Uu{I}zkI",,,,"Road/Highway Embankment",,,,,,,,0.34298781,,2.3780489,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"152411036",2.5,,"AZ923","9-23","MT7066-711","7-1-1-30","08/14/03 14:47:44",,,,,,,,,,,,,,"^3K&8N4.V",,,"fY V9-7Dver>#24*Nso/(*U+.$S@V.^ZL(9VVX69(!<er:,A $Ss;W4&0CH[/u 1.B83)X^T[0PUh!42tG:+13AofR:TZHF}HH&3Z&8$R7sO(U]Fe{75sdym}nvRW 5 ]^uq]jfugw}tsahhQ",0.16599999,0.331,0.16500001,,,,,,,,,,,,,,,,,"U",1,"7-1-1-30",0.83999997,0.42857146,0.30000001,0.1309091,0.252,1925,2177,21.356371,2.75,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<R^C52[Ul:N20$","k8T7 G06",,"+!(&DO}\mxRv",,,,"Road/Highway Embankment",,,,,,,,0.76219511,,21.341463,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
